ID,Player,Nation,Club,Position,In_17_18,Age,Appearances,Starts,Subs,MinsPlayed,Minutes/Appearance,Goals,Assists,PenaltiesTaken,PenaltiesAttempted,Fouls,YellowCards,RedCards,ShotsOnTarget,Goals/90,GoalsAndAssists/90,GoalsMinusPenalties/90,GoalsAndAssistsMinusPenaltiesPer90,ShotsOnTarget/90,Fouls/90,Cards/90
585,Ahmed Hegazi,eg EGY,West Bromwich Albion,DF,Y,23,10,9,1,776,78,0,0,0,0,,3,1,1,0,0,0,0,0.12,,0.46
586,Oliver Burke,sco SCO,West Bromwich Albion,MF,Y,19,25,5,20,632,25,1,2,0,0,10,1,0,5,0.14,0.43,0.14,0.43,0.71,1.42,0.14
587,Grzegorz Krychowiak,pl POL,West Bromwich Albion,MF,Y,26,11,7,4,659,60,0,0,0,0,14,2,0,1,0,0,0,0,0.14,1.91,0.27
588,Daniel Sturridge,eng ENG,West Bromwich Albion,FW,S,26,20,7,13,775,39,3,1,0,0,5,1,0,20,0.35,0.46,0.35,0.46,2.32,0.58,0.12
589,Cheikhou Kouyate,sn SEN,West Ham United,MF,Y,26,31,31,0,2722,88,1,0,0,0,45,3,0,4,0.03,0.03,0.03,0.03,0.13,1.49,0.1
590,Manuel Lanzini,ar ARG,West Ham United,MF,Y,23,35,31,4,2706,77,8,2,2,2,20,9,0,21,0.27,0.33,0.2,0.27,0.7,0.67,0.3
591,Winston Reid,nz NZL,West Ham United,DF,Y,28,30,30,0,2587,86,2,1,0,0,33,9,1,2,0.07,0.1,0.07,0.1,0.07,1.15,0.35
592,Michail Antonio,eng ENG,West Ham United,MF,Y,26,29,29,0,2434,84,9,3,0,0,30,5,1,23,0.33,0.44,0.33,0.44,0.85,1.11,0.22
593,Mark Noble,eng ENG,West Ham United,MF,Y,29,30,29,1,2389,80,3,0,1,2,27,10,0,7,0.11,0.11,0.08,0.08,0.26,1.02,0.38
594,Aaron Cresswell,eng ENG,West Ham United,DF,Y,26,26,24,2,2116,81,0,2,0,0,11,3,1,2,0,0.09,0,0.09,0.09,0.47,0.17
595,Pedro Obiang,es ESP,West Ham United,MF,Y,24,22,21,1,1763,80,1,1,0,0,27,7,0,2,0.05,0.1,0.05,0.1,0.1,1.38,0.36
596,Angelo Ogbonna,it ITA,West Ham United,DF,Y,28,20,20,0,1755,88,0,0,0,0,13,2,0,1,0,0,0,0,0.05,0.67,0.1
597,James Collins,wal WAL,West Ham United,DF,Y,32,22,19,3,1655,75,2,0,0,0,7,3,0,4,0.11,0.11,0.11,0.11,0.22,0.38,0.16
598,Dimitri Payet,fr FRA,West Ham United,"MF,FW",N,29,18,17,1,1511,84,2,6,0,0,7,2,0,15,0.12,0.48,0.12,0.48,0.89,0.42,0.12
599,Andre Ayew,gh GHA,West Ham United,MF,F,26,25,16,9,1438,58,6,3,0,0,13,1,0,13,0.38,0.56,0.38,0.56,0.81,0.81,0.06
600,Jose Fonte,pt POR,West Ham United,DF,F,32,16,16,0,1404,88,0,0,0,0,11,2,0,2,0,0,0,0,0.13,0.71,0.13
601,Andy Carroll,eng ENG,West Ham United,FW,Y,27,18,15,3,1311,73,7,1,0,0,25,3,0,14,0.48,0.55,0.48,0.55,0.96,1.72,0.21
602,Sam Byram,eng ENG,West Ham United,"DF,MF",Y,22,18,13,5,1249,69,0,1,0,0,20,6,1,0,0,0.07,0,0.07,0,1.44,0.5
603,Sofiane Feghouli,dz ALG,West Ham United,MF,N,26,21,11,10,1041,50,3,2,0,0,11,1,1,7,0.26,0.43,0.26,0.43,0.61,0.95,0.17
604,Arthur Masuaku,fr FRA,West Ham United,DF,Y,22,13,11,2,972,75,0,1,0,0,16,1,0,1,0,0.09,0,0.09,0.09,1.48,0.09
605,Harvard Nordtveit,no NOR,West Ham United,"MF,DF",N,26,16,11,5,957,60,0,1,0,0,11,2,0,1,0,0.09,0,0.09,0.09,1.03,0.19
606,Edimilson Fernandes,"ch SUI,pt POR",West Ham United,MF,Y,20,28,8,20,1001,36,0,1,0,0,16,4,0,4,0,0.09,0,0.09,0.36,1.44,0.36
607,Robert Snodgrass,sco SCO,West Ham United,"MF,FW",N,28,15,8,7,838,56,0,2,0,0,14,0,0,2,0,0.21,0,0.21,0.21,1.5,0
608,Simone Zaza,it ITA,West Ham United,FW,N,25,8,5,3,459,57,0,0,0,0,11,2,0,2,0,0,0,0,0.39,2.16,0.39
609,Jonathan Calleri,"ar ARG,it ITA",West Ham United,FW,N,22,16,4,12,540,34,1,0,0,0,10,0,0,3,0.17,0.17,0.17,0.17,0.5,1.67,0
610,Gokhan Tore,tr TUR,West Ham United,"MF,FW",N,24,5,3,2,240,48,0,1,0,0,4,0,0,0,0,0.37,0,0.37,0,1.5,0
611,Enner Valencia,ec ECU,West Ham United,"MF,FW",N,26,3,3,0,211,70,0,0,0,0,9,0,0,0,0,0,0,0,0,3.84,0
612,Ashley Fletcher,eng ENG,West Ham United,FW,N,20,16,2,14,367,23,0,0,0,0,9,2,0,5,0,0,0,0,1.23,2.21,0.49
613,Diafra Sakho,sn SEN,West Ham United,FW,F,26,4,2,2,181,45,1,0,0,0,3,0,0,1,0.5,0.5,0.5,0.5,0.5,1.49,0
614,Álvaro Arbeloa,es ESP,West Ham United,DF,N,33,3,1,2,258,86,0,0,0,0,5,3,0,0,0,0,0,0,0,1.74,1.05
615,Declan Rice,ie IRL,West Ham United,DF,Y,17,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,Pablo Zabaleta,ar ARG,West Ham United,DF,Y,31,19,11,8,1036,55,1,1,0,0,14,2,0,2,0.09,0.17,0.09,0.17,0.17,1.22,0.17
617,Marko Arnautovic,at AUT,West Ham United,FW,Y,27,32,32,0,2714,85,6,5,0,1,40,9,1,19,0.2,0.36,0.2,0.36,0.63,1.33,0.33
618,Joao Mario,pt POR,West Ham United,MF,S,23,30,22,8,2003,67,3,5,0,0,33,5,0,11,0.13,0.36,0.13,0.36,0.49,1.48,0.22
619,Jordan Hugill,eng ENG,West Ham United,FW,S,24,44,35,9,3172,72,12,2,0,1,96,7,0,27,0.34,0.4,0.34,0.4,0.77,2.72,0.2
620,Javier Hernandez,mx MEX,West Ham United,FW,Y,28,26,20,6,1813,70,11,2,0,2,28,1,0,26,0.55,0.65,0.55,0.65,1.29,1.39,0.05
621,Patrice Evra,fr FRA,West Ham United,DF,S,35,11,11,0,868,79,1,0,0,0,17,3,0,2,0.1,0.1,0.1,0.1,0.21,1.76,0.31
